1925,大和ハウス工業,2兆9768億,11.11,10.4,3.87,建設業
1926,ライト工業,1011億,10.41,10.85,7.91,建設業
1928,積水ハウス,2兆4835億,11.62,10.71,4.43,建設業
1929,日特建設,423億,11.77,10.93,6.86,建設業
1930,北陸電気工事,344億,14.01,5.53,3.94,建設業
1934,ユアテック,1092億,13.22,5.82,3.9,建設業
1938,日本リーテック,267億,9.23,4.78,3.42,建設業
1939,四電工,629億,15.25,6.5,4.16,建設業
1941,中電工,1912億,20.27,4.17,3.22,建設業
1942,関電工,4413億,15.26,8.6,5.63,建設業
1944,きんでん,6656億,19.37,6.02,4.47,建設業
1945,東京エネシス,379億,12.12,4.4,3.04,建設業
1946,トーエネック,928億,10.7,6.44,2.79,建設業
1948,弘電社,113億,8.05,6.96,4.66,建設業
1949,住友電設,1388億,13.7,9.62,5.91,建設業
1950,日本電設工業,1072億,9.79,5.75,4.09,建設業
1951,エクシオグループ,3302億,14.46,7.29,4.19,建設業
1952,新日本空調,830億,9.77,12.3,8.05,建設業
1959,九電工,4590億,15.8,9.93,6.09,建設業
1960,サンテック,116億,12.39,3.1,1.84,建設業
1961,三機工業,1214億,12.9,8.72,4.8,建設業
1963,日揮 HD,3118億,12.62,5.8,2.78,建設業
1964,中外炉工業,200億,8.22,8.79,5.29,建設業
1965,テクノ菱和,320億,7.97,7.54,5.35,建設業
1966,高田工業所,95億,7.59,6.54,2.78,建設業
1967,ヤマト,259億,9.95,6.46,4.52,建設業
1968,太平電業,1055億,10.73,9.29,6.08,建設業
1969,高砂熱学工業,3610億,15.94,13.33,7.41,建設業
1972,三晃金属工業,157億,6.24,10.17,6.53,建設業
1973,NECネッツエスアイ,3934億,21.81,11.95,6.79,情報・通信業
1975,朝日工業社,346億,10.58,8.11,4.75,建設業
1976,明星工業,655億,10.9,8.13,6.18,建設業
1979,大気社,1590億,15.16,7.07,4.28,建設業
1980,ダイダン,1357億,11.51,11.79,6.59,建設業
1981,協和日成,158億,13.7,5.88,3.93,建設業
1982,日比谷総合設備,798億,16.47,6.8,5.2,建設業
1992,神田通信機,75億,24.06,4.92,3.26,建設業
1994,高橋カーテンウォール工業,52億,11.08,3.71,3.01,建設業
1997,暁飯島工業,37億,7.76,6.54,4.46,建設業
1999,サイタ HD,20億,7.89,4.73,2.88,建設業
202A,豆蔵デジタル HD,225億,16.51,59.13,35.7,情報・通信業
205A,ロゴス HD,103億,7.75,43.23,9.99,建設業
206A,PRISM BioLab,185億,,,,医薬品
208A,構造計画研究所 HD,223億,,,,情報・通信業
2001,ニップン,1734億,7.15,10.16,6,食料品
2002,日清製粉G,5630億,14.48,7.46,4.59,食料品
2003,日東富士製粉,648億,14.63,8.64,6.64,食料品
2004,昭和産業,940億,8.41,8.38,4.19,食料品
2009,鳥越製粉,177億,14.01,3.16,2.54,食料品
2053,中部飼料,445億,12.75,5.17,3.42,食料品
2055,日和産業,65億,19.02,1.65,0.94,食料品
2058,ヒガシマル,47億,34.89,2.16,0.73,食料品
2060,フィード・ワン,315億,6.98,8.74,3.45,食料品
211A,カドス・コーポレーション,24億,5.56,10.71,5.22,建設業
212A,フィットイージー,184億,17.95,38.57,18.7,サービス業
215A,タイミー,1553億,68.96,29.4,10.01,情報・通信業
218A,Liberaware,79億,1582.28,0.58,0.33,情報・通信業
219A,Heartseed,302億,,,,医薬品
2107,東洋精糖,79億,13.22,5.42,4.54,食料品
2108,日本甜菜製糖,412億,5.54,7.9,6.12,食料品
2109,DM三井製糖 HD,1068億,18.54,5.02,2.96,食料品
2112,塩水港精糖,91億,5.48,8.99,4.64,食料品
2114,フジ日本精糖,324億,17.25,7.07,5.13,食料品
2117,ウェルネオシュガー,759億,14.2,7.04,5.4,食料品
2120,LIFULL,183億,58.45,0.9,0.59,サービス業
2121,MIXI,2110億,16.67,7.03,5.88,サービス業
2122,インタースペース,66億,13.84,7.3,3.77,サービス業
2124,ジェイエイシーリクルートメント,1269億,20.47,35.54,25.29,サービス業
2127,日本M&Aセンター HD,2153億,18.42,26.67,21.48,サービス業
2130,メンバーズ,121億,76.77,2.87,1.38,サービス業
2134,北浜キャピタルパートナーズ,34億,65.71,15.05,4.23,サービス業
2136,ヒップ,39億,10.58,10.02,6.47,サービス業
2137,光ハイツ・ヴェラス,15億,26.12,1.68,0.78,サービス業
2138,クルーズ,83億,6.49,10.01,3.72,情報・通信業
2139,中広,35億,9.65,19.17,7.54,サービス業
2146,UTグループ,1047億,8.06,45.21,17.83,サービス業
2148,アイティメディア,341億,20.15,19.17,16.28,サービス業
2150,ケアネット,292億,18.54,13.22,10.76,サービス業
2152,幼児活動研究会,160億,15.05,9.91,7.41,サービス業
2153,E・J HD,271億,7.91,10.28,8.09,サービス業
2154,オープンアップグループ,1894億,15.9,15.4,9.67,サービス業
2156,セーラー広告,18億,,,,サービス業
2157,コシダカ HD,807億,11.84,22.79,11.21,サービス業
2158,FRONTEO,281億,87.93,11.36,4.48,サービス業
2160,ジーエヌアイグループ,1249億,10.17,33.36,17.81,医薬品
2162,nms HD,90億,5.01,36.32,3.54,サービス業
2163,アルトナー,192億,16.31,25.92,18.45,サービス業
2164,地域新聞社,14億,122.33,6.64,1.01,サービス業
2168,パソナグループ,917億,66.31,0.88,0.43,サービス業
2169,CDS,125億,12.79,11.31,8.87,サービス業
2170,リンクアンドモチベーション,697億,20.37,31.8,10.38,サービス業
2172,インサイト,6億,7.92,10.76,6.7,サービス業
2173,博展,103億,12.1,26.05,10.84,サービス業
2175,エス・エム・エス,1843億,22.56,17.78,10.73,サービス業
2179,成学社,45億,10.87,12.77,4.76,サービス業
2180,サニーサイドアップグループ,79億,8.17,24.17,11.33,サービス業
2181,パーソル HD,6296億,17.76,17.3,6.54,サービス業
2183,リニカル,96億,12.61,8.52,3.67,サービス業
2185,シイエム・シイ,174億,8.93,9.13,7.14,サービス業
2186,ソーバル,74億,17.2,10.18,7.73,サービス業
2193,クックパッド,208億,,,,サービス業
2195,アミタ HD,70億,19.07,15.24,5.57,サービス業
2196,エスクリ,32億,5.72,9.18,2.59,サービス業
2198,アイ・ケイ・ケイ HD,229億,15.42,14.39,7.57,サービス業
220A,Faber Company,24億,9.74,11.46,9.17,情報・通信業
228A,オプロ,27億,28.65,60.94,8.74,情報・通信業
2201,森永製菓,2581億,15.96,12.14,7.35,食料品
2204,中村屋,191億,27.73,2.6,1.59,食料品
2206,江崎グリコ,2909億,24.57,4.02,2.96,食料品
2207,名糖産業,324億,7.94,7.41,4.82,食料品
2208,ブルボン,658億,18.44,5.42,3.36,食料品
2209,井村屋グループ,327億,17.69,8.9,4.8,食料品
2211,不二家,692億,27.67,4.4,3.02,食料品
2212,山崎製パン,6130億,15.45,8.98,4.59,食料品
2215,第一屋製パン,45億,2.81,19.84,10.32,食料品
2216,カンロ,510億,16.73,17.67,10.85,食料品
2217,モロゾフ,312億,22.61,6.83,5.25,食料品
2218,日糧製パン,47億,26.39,3.47,1.31,食料品
2220,亀田製菓,1005億,24.99,5.32,3.12,食料品
2221,岩塚製菓,314億,11.36,3.56,2.65,食料品
2222,寿スピリッツ,2675億,22.67,35.6,27.2,食料品
2224,コモ,103億,99.44,4.95,1.92,食料品
2226,湖池屋,555億,22.23,14.48,7.26,食料品
2229,カルビー,4516億,23.39,9.25,5.84,食料品
2264,森永乳業,3071億,15.09,6.85,3.47,食料品
2266,六甲バター,321億,27.8,3.41,2.06,食料品
2267,ヤクルト本社,1兆532億,16.82,9.69,6.47,食料品
2268,B-Rサーティワンアイスクリーム,401億,32.37,9.35,5.4,食料品
2269,明治 HD,1兆623億,20,6.67,4.16,食料品
2270,雪印メグミルク,1833億,12.87,5.78,3.17,食料品
2281,プリマハム,1179億,11.73,8.37,4.01,食料品
2282,日本ハム,5543億,20.48,5.02,2.7,食料品
2286,林兼産業,42億,6.35,5.84,2.19,食料品
2288,丸大食品,466億,10.94,6.17,3.17,食料品
2291,福留ハム,44億,108.69,1.73,0.29,食料品
2292,エスフーズ,849億,10.42,6.59,3.45,食料品
2293,滝沢ハム,63億,36.54,4.35,1.25,食料品
2294,柿安本店,328億,18.06,9.62,7.65,食料品
2296,伊藤ハム米久 HD,2186億,13.49,5.68,3.29,食料品
231A,Cross E HD,25億,10.26,12.79,9.05,サービス業
2300,きょくとう,27億,17.61,6.3,3.01,サービス業
2301,学情,264億,12.31,14.02,12.43,サービス業
2303,ドーン,65億,15.41,15.92,14.03,情報・通信業
2304,CSS HD,46億,11.81,13.95,6.32,サービス業
2305,スタジオアリス,354億,27.99,4.4,2.97,サービス業
2307,クロスキャット,197億,15.72,22.04,14,情報・通信業
2311,エプコ,74億,14.7,10.68,8.32,サービス業
2315,CAICA DIGITAL,62億,,,,情報・通信業
2317,システナ,1677億,19.36,19.05,13.38,情報・通信業
2321,ソフトフロント HD,21億,,,,情報・通信業
2323,fonfun,27億,18.78,22.33,13.61,情報・通信業
2325,NJS,351億,15.84,7.89,6.35,サービス業
2326,デジタルアーツ,621億,17.05,22.19,16.49,情報・通信業
2327,日鉄ソリューションズ,6734億,26.72,10.37,6.57,情報・通信業
2329,東北新社,929億,25.77,4.36,3.65,情報・通信業
2330,フォーサイド,69億,69.55,6.64,2.19,情報・通信業
2331,綜合警備保障,5352億,18.77,8.04,4.91,サービス業
2332,クエスト,70億,9.61,10.78,7.97,情報・通信業
2334,イオレ,17億,31.21,7.46,4.89,サービス業
2335,キューブシステム,162億,14.06,11.15,8.49,情報・通信業
2337,いちご,1559億,10.94,13.49,3.7,サービス業
2338,クオンタムソリューションズ,201億,,,,情報・通信業
2340,極楽湯 HD,129億,18.52,25.55,6.15,サービス業
2341,アルバイトタイムス,42億,39.07,2.03,1.69,サービス業
2342,トランスジェニック,40億,39.33,1.74,0.94,サービス業
2344,平安レイサービス,105億,8.18,6.05,3.74,サービス業
2345,クシム,51億,,0,0,情報・通信業
2349,エヌアイデイ,306億,13.53,9.53,7.14,情報・通信業
2351,ASJ,36億,31.87,4.36,2.73,情報・通信業
2353,日本駐車場開発,804億,15.61,30.38,11.15,不動産業
2354,YE DIGITAL,141億,11.8,20.25,9.05,情報・通信業
2359,コア,273億,11.02,14.27,10.19,情報・通信業
2370,メディネット,120億,,,,サービス業
2371,カカクコム,5068億,26.06,37.52,22.08,サービス業
2372,アイロムグループ,342億,23.76,11.25,3.81,サービス業
2373,ケア21,60億,,,,サービス業
2374,セントケア・ホールディング,184億,8.52,13.62,7.14,サービス業
